Timestamp,Temperature,Humidity,Soil Moisture,pH
1705986511,24,40,0,0
1705986541,24,40,0,0
1705986571,24,40,0,0
1705986601,24,40,58,8
1705987171,24,40,58,8
1705987201,24,40,58,6
1705990266,63.8,72.5,45,8
1705990301,63.8,72.5,44,8
1705990338,63.8,72.5,49,0
1705990372,50.2,72.5,57,0
1705990410,50.2,100,1,0
1705990588,50.2,100,1,0
1705990622,50.2,100,1,0
1705990659,50.2,100,1,0
1705990693,50.2,100,1,0
1705990732,50.2,100,1,0
1705990770,50.2,100,37,0
1705990808,50.2,100,37,0
1705990847,50.2,100,37,0
1705990885,50.2,100,37,0
1705990924,50.2,100,37,0
1705990962,50.2,100,37,0
1705991001,50.2,100,37,0
1705991039,50.2,100,37,0
1705991077,50.2,100,37,0
1706272802,29,35,0,0
1706272836,44.9,49.5,0,6
1706272858,29,35,85,8
1706272873,44.9,49.5,0,6
1706272908,44.9,49.5,0,6
1706301030,29,35,0,0
1706301065,29,35,0,0
1706301275,29,35,0,0
1706301409,29,35,0,0
1706301443,29,35,25,0
1706349006,29,35,33,6
1706349393,29,35,33,6
1706349425,29,35,33,6
1706350325,29,35,33,6
1706350356,29,35,33,6
1706353950,29,35,0,0
1706353982,29,35,0,0
1706354016,29,35,0,0
1706354123,29,35,33,6
1706354319,29,35,0,0
1706354351,29,35,0,0
1706354992,29,35,0,0
1706355025,29,35,0,0
1706356097,29,35,33,6
1706356127,29,35,33,6
1706356385,29,35,33,6
1706356416,29,35,33,6
1706356714,29,35,33,6
1706356747,29,35,33,6
1706358494,29,35,33,6
1706359392,29,35,0,0
1706359425,29,35,0,0
1706359779,29,35,0,0
1706360006,29,35,0,0
1706360037,29,35,0,0
1706360895,29,35,0,0
1706360927,29,35,0,0
1706360960,29,35,0,0
1706361787,29,35,0,0
1706361818,29,35,0,0
1706362282,29,35,0,0
1706362316,29,35,0,0
1706362350,29,35,0,0
1706362384,29,35,0,0
1706363112,29,35,0,0
1706363145,29,35,0,0
1706363179,29,35,0,0
1706363772,29,35,0,0
1706363809,29,35,0,0
1706363841,29,35,0,0
1706363884,29,35,0,0
1706363919,29,35,0,0
1706365737,29,35,0,0
1706365771,29,35,0,0
1706365802,29,35,0,0
1706366590,29,35,0,0
1706366624,29,35,0,0
1706366809,29,35,0,0
1706366842,29,35,0,0
1706366952,29,35,0,0
1706366985,29,35,0,0
1706367019,29,35,0,0
1706367176,29,35,0,0
1706367210,29,35,0,0
1706367244,29,35,0,0
1706367437,29,35,0,0
1706367560,29,35,0,0
1706368807,29,35,0,0
1706368839,29,35,0,0
1706368881,29,35,0,0
1706368920,29,35,0,0
1706368969,29,35,0,0
1706430080,29,35,0,0
1706430114,29,35,0,0
1706446338,29,35,0,0
1706446368,29,35,0,0
1706446401,29,35,0,0
1706446435,29,35,0,0
1706447162,29,35,20,9.49
1706447195,29,35,20,9.49
1706450351,29,35,20,9.49
1706450381,29,35,20,9.49
1706450538,29,35,20,9.49
1706450569,29,35,20,13.01
1706450604,29,35,20,7.35
1706450931,29,35,20,7.35
1706450963,29,35,20,7.35
1706451638,29,35,20,7.35
1706451668,29,35,20,7.35
1706451702,29,35,20,7.35
1706451770,29,35,20,7.35
1706451840,29,35,20,7.35
1706451871,29,35,20,2.1
1706451967,29,35,20,2.46
1706452042,29,35,20,2.46
1706452098,29,35,20,2.46
1706452175,29,35,20,0
1706452254,29,35,20,0
1706452417,29,35,20,0
1706452450,29,35,20,5.85
1706452508,29,35,20,5.85
1706452578,29,35,20,5.85
1706453837,29,35,20,13.15
1706453874,29,35,20,0
1706454790,29,35,20,0
1706454828,29,35,20,13.41
1706454869,29,35,20,13.41
1706454901,29,35,20,13.41
1706454959,29,35,20,13.41
1706454997,29,35,20,13.41
1706455037,29,35,20,13.41
1706455812,29,35,0,0
1706456897,29,35,0,0
1706456930,29,35,0,0
1706457307,29,35,20,0
1706457343,29,35,20,12.44
1706457384,29,35,20,12.44
1706457414,29,35,20,12.44
1706457445,29,35,20,12.44
1706457476,29,35,20,12.44
1706457507,29,35,20,12.44
1706457538,29,35,20,12.44
1706457569,29,35,20,12.44
1706457664,29,35,0,0
1706457599,29,35,20,12.44
1706457630,29,35,20,12.44
1706457661,29,35,20,4.54
1706463252,29,35,20,13.41
1706463478,29,35,0,0
1706463587,29,35,0,0
1706463637,29,35,0,0
1706463671,29,35,24,7
1706463742,29,35,20,13.41
1706464407,29,35,20,0
1706466939,29,35,20,2.12
1706466976,29,35,80.4,2.04
1706467016,29,35,20.6,4.52
1706467047,29,35,20.6,4.52
1706467078,29,35,64.44,4.96
1706467109,29,35,64.44,10.44
1706467139,29,35,64.44,10.44
1706467170,29,35,64.44,10.44
1706467201,29,35,64.44,10.44
1706467232,29,35,64.44,10.44
1706467262,29,35,64.44,10.44
1706467293,29,35,64.44,10.44
1706467324,29,35,64.44,2.64
1706467354,29,35,64.44,5.93
1706467385,29,35,64.44,5.93
1706467417,29,35,64.44,5.93
1706467448,29,35,21.01,5.93
1706468623,29,35,44.04404,4.73505
1706468656,29,35,44.04404,7.06412
1706468696,29,35,27.36737,7.06412
1706468726,29,35,27.36737,7.06412
1706468757,29,35,27.36737,9.13319
1706468788,29,35,27.36737,9.13319
1706468818,29,35,27.36737,9.13319
1706469356,29,35,27.36737,9.13319
1706469391,29,35,21.68168,9.13319
1706469431,29,35,25.28529,9.13319
1706469462,29,35,25.28529,5.80437
1706469492,29,35,25.28529,5.64324
1706469643,29,35,20,0
1706469680,29,35,61.81,10.62
1706469523,29,35,25.28529,5.64324
1706469721,29,35,61.81,9.17
1706469554,29,35,25.28529,6.80045
1706469846,29,35,61.81,9.17
1706469883,29,35,61.81,9.17
1706469887,29,35,25.28529,6.80045
1706469922,29,35,25.28529,6.80045
1706469923,29,35,61.81,7.63
1706470114,29,35,25.28529,6.80045
1706469965,29,35,40,7.63
1706470007,29,35,35.95,7.63
1706470049,29,35,20,7.63
1706510898,29,35,20,0
1706510935,29,35,20,2.78
1706510975,29,35,20,8.54
1706548658,29,35,20,0
1706548695,29,35,20,7.69
1706549832,29,35,20,7.69
1706549865,29,35,20,7.69
1706550986,29,35,20,7.69
1706551026,29,35,20,10.98
1706551182,29,35,20,1.89
1706552425,29,35,69.69,9.13
1706552462,29,35,69.69,4.24
1706552502,29,35,69.69,13.73
1706552533,29,35,82.62,1.87
1706552564,29,35,32.32,1.87
1706552595,29,35,45.05,1.87
1706553482,29,35,53.53,1.87
1706553522,29,35,53.53,13.09
1706553562,29,35,22.82,1.21
1706553594,29,35,22.82,11.63
1706554516,29,35,22.82,11.63
1706554553,29,35,74.34,11.63
1706554752,29,35,74.34,5.49
1706554789,29,35,74.34,7.95
1706554829,29,35,20,7.95
1706554860,29,35,20,7.95
1706554902,29,35,41.81,0
1706554944,29,35,41.81,0
1706555517,29,35,41.81,0
1706555554,29,35,41.81,11.97
1706555664,29,35,41.81,11.97
1706555850,29,35,41.81,12.22
1706555887,29,35,41.81,3.45
1706557331,29,35,20,0
1706557363,29,35,20,0
1706557401,29,35,20,0
1706557568,29,35,20,0
1706557607,29,35,54.94,0
1706557647,29,35,54.94,5.15
1706557678,29,35,54.94,5.15
1706557845,29,35,54.94,5.15
1706557882,29,35,93.73,9.85
1706558124,29,35,93.73,9.85
1706558160,29,35,93.73,2.1
1706558424,29,35,93.73,6.68
1706558461,29,35,93.73,3.01
1706558626,29,35,93.73,3.01
1706558663,29,35,93.73,8.86
1706558703,29,35,93.73,8.86
1706558734,29,35,93.73,8.86
1706559186,29,35,93.73,8.86
1706559222,29,35,93.73,3.69
1706590065,29,35,20,0
1706590097,29,35,20,9.13
1706590137,29,35,20,9.13
1706590170,29,35,20,9.13
1706590920,29,35,64.64,9.13
1706591863,29,35,64.64,9.13
1706591901,29,35,64.64,9.13
1706591942,29,35,89.09,6.46
1706591973,29,35,89.09,12.62
1706592004,29,35,89.09,12.62
1706592035,29,35,89.09,12.62
1706592166,29,35,20,0
1706592198,29,35,20,0.64
1706593068,29,35,20,0
1706593100,29,35,20,0
1706593284,29,35,60,0
1706593509,29,35,60,0
1706593547,29,35,60,0
1706593588,29,35,60,3.05
1706594178,29,35,60,3.05
1706594214,29,35,60,3.05
1706594255,29,35,60,3.05
1706594286,29,35,60,3.05
1706594317,29,35,60,3.05
1706594348,29,35,60,3.05
1706594379,29,35,60,3.05
1706594410,29,35,60,3.05
1706595414,29,35,20,0
1706595447,29,35,20,0
1706595484,29,35,20,0
1706595517,29,35,20,0
1707753160,29,35,20,0
1707753192,29,35,20,0
1707753229,29,35,20,6.1
1707753261,29,35,65.85,12.54
1707756753,29,35,65.85,12.54
1707756791,29,35,65.85,12.54
1707756833,29,35,78.18,0
1707756863,29,35,78.18,0
1707756894,29,35,78.18,0
1707756925,29,35,78.18,2.42
1707756956,29,35,78.18,2.42
1707756986,29,35,78.18,2.42
1707757017,29,35,78.18,2.42
1707757047,29,35,78.18,2.42
1707757078,29,35,78.18,2.42
1707757492,29,35,78.18,2.42
1707757531,29,35,78.18,2.42
1707757571,29,35,78.18,2.42
1707757602,29,35,78.18,2.42
1707757633,29,35,72.32,2.42
1707757665,29,35,20,2.42
1707757698,29,35,20,2.42
1707757730,29,35,20,2.42
1707799611,29,35,20,0
1707799641,29,35,69.49,0
1707800505,29,35,69.49,7.65
1707800542,29,35,69.49,7.65
1707800582,29,35,69.49,7.65
1707800661,29,35,69.49,7.65
1707800694,29,35,69.49,7.65
1708881942,29,35,20,0
1708881975,29,35,20,0
1708979367,29,35,20,0
1708981937,29,35,20,0
1708981969,55.3,66,20,0
1708982007,-19.5,15.5,20,0
1708982040,12,15.5,20,0
1708982181,29,35,20,0
1709009955,29,35,20,0
1709009986,29,35,20,0
1709010026,29,35,20,0
1709010059,29,35,20,0
1709010089,29,35,20,0
1709010834,29,35,20,0
1709010866,29,35,20,8.48
1709011332,29,35,20,8.48
1709011364,29,35,20,8.48
